Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,GameScore/Average,GameScore/Std,GameScore/Median,GameScore/Min,GameScore/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max
4,7079,124,22.961098670959473,10000,4,375,435.5192294281505,16.331971103555645,3.0,3.0,1769.75,137.71234,1730.5,1625.0,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6050291,1.4377836,0.7925241,0.13179722,5.1620255,0.019554079,0.029177094,0.00776563,0.0012480455,0.20206559,1.5931939,1.4281206,0.78839225,-0.21028538,4.29977,0.0118350955,0.2547744,-0.00730827,-0.59120286,1.6365763,0.098090984,0.46800023,0.0062932204,-1.2357445,4.167782,-0.011157282,0.260042,0.0073068724,-1.6848272,0.7507338,0.112052634,0.5469236,0.0010967347,9.416456e-06,5.8071527,-0.0028043692,2.3397628e-05,-0.0028033692,-0.0028660994,-0.0027652492,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5605553,3.9186306,0.3361258,0.007296976,45.837,2.8043692,0.023397626,2.803369,2.765249,2.866099,16.52298,0.38623077,16.504295,15.89237,17.568707
2,10690,249,49.96702027320862,20000,6,750,370.289159069734,13.885843465115025,3.0,3.0,1781.6666,425.67264,1730.5,1095.0,2516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32158288,0.1280895,0.27033493,0.17243853,0.9265831,0.0035533367,0.004385715,0.0024278378,0.00181688,0.027040148,0.32151917,0.12158519,0.26955026,0.17355898,0.77617085,6.369806e-05,0.039535977,-0.0020326779,-0.16072154,0.16419236,0.0014958216,0.040372238,-0.00076607685,-0.13957642,0.29169163,9.3770504e-05,0.041171633,0.0020316192,-0.16948032,0.18368173,0.0042139385,0.014357801,5.380033e-05,5.2117784e-06,0.11083317,-0.002811887,2.854585e-05,-0.0028139276,-0.0028552874,-0.0027496782,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25640407,0.6406908,0.050523,0.0061338996,6.242214,2.8118868,0.028545853,2.8139274,2.7496781,2.8552873,16.648432,0.47393623,16.675724,15.639412,17.379475
4,24398,374,77.12648677825928,30000,10,1125,368.19574486635696,13.807340432488386,3.0,3.0,2439.8,1554.3026,1730.5,1095.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266653,0.19267204,0.24746022,0.16818531,1.0389783,0.003661293,0.002974107,0.0027081673,0.0015526713,0.013417253,0.32730624,0.1885567,0.24447513,0.17073034,1.0174607,-0.0006409216,0.04075203,0.00012980653,-0.24067423,0.17624815,0.004400399,0.059197016,-0.0028580616,-0.108843505,0.57042533,0.0009865169,0.0428148,-0.00013022283,-0.18161637,0.27904254,0.0061366083,0.027884401,2.2193804e-05,2.5464094e-06,0.29410356,-0.0027227255,5.6134715e-05,-0.002696131,-0.0028409187,-0.0026781627,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22943896,0.58916956,0.03906614,0.0051767537,5.0049596,2.7227252,0.05613471,2.6961308,2.6781626,2.8409185,15.246913,0.8871909,14.823181,14.558344,17.131662
2,30678,499,104.07043051719666,40000,12,1500,371.14091748747035,13.917784405780138,3.0,3.0,2556.5,1563.7739,1730.5,1095.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86757827,0.6133718,0.58245045,0.18019333,1.8023294,0.009136466,0.0065492243,0.009278121,0.0015946388,0.02015948,0.86962414,0.6076245,0.68881446,0.17450117,1.8115822,-0.0020458123,0.11484332,-0.00044425097,-0.7515381,0.509228,0.052358277,0.30241165,-0.0012569675,-0.09496756,2.589308,0.0045087454,0.12813799,0.00044507015,-0.5124217,0.92497,0.050365347,0.20919423,0.00010951931,3.8598864e-06,1.6666188,-0.0025158173,0.00017760902,-0.002525612,-0.0027425487,-0.0021998554,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5891504,1.6796032,0.09749017,0.0029623562,13.19157,2.5158172,0.177609,2.5256119,2.1998553,2.7425485,12.789458,1.9359642,12.515669,9.688131,15.526509
4,41880,624,130.86585688591003,50000,16,1875,373.19801754213194,13.994925657829947,3.0,3.0,2617.5,1512.2743,1730.5,1095.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82353956,0.66782737,0.5473517,0.1939266,2.3143067,0.0082183825,0.0064182663,0.0070724995,0.0017857912,0.02219485,0.83058757,0.6638329,0.7541901,0.1945177,2.3244207,-0.007048051,0.10816737,0.0001243586,-0.51580596,0.45735678,0.048343267,0.19945385,-0.0017506782,-0.019056303,1.116844,0.007996951,0.111346774,-0.00011746475,-0.46312508,0.5158059,0.042888433,0.13788933,8.6935834e-05,2.370853e-06,0.6573626,-0.002542117,0.00019189317,-0.002611475,-0.0027219374,-0.0019173219,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.52771574,1.4467156,0.06359847,0.0042355894,7.440292,2.542117,0.19189315,2.611475,1.9173218,2.7219372,12.971612,2.0149117,13.625905,7.066018,15.209768
2,49183,749,158.30416250228882,60000,18,2250,364.45399143125974,13.667024678672242,3.0,3.0,2732.389,1604.8684,1730.5,1095.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2822693,0.15728961,0.24403565,0.1624923,1.0350761,0.0030557232,0.0022348075,0.0025112866,0.0018030185,0.014108735,0.281985,0.14971368,0.24400535,0.17591022,1.0148971,0.00028424853,0.053933978,0.0005842716,-0.28149158,0.32624006,0.006245355,0.06722834,-0.0032870034,-0.055122674,0.5367662,-0.00020551778,0.054092914,-0.00058454287,-0.33320576,0.28149158,0.009168302,0.0487336,2.4802192e-05,1.0871876e-06,0.3034044,-0.0027174295,2.741469e-05,-0.0027268103,-0.0027483455,-0.0026128073,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18545544,0.66132677,0.025724204,0.0041552,4.0755715,2.7174296,0.027414694,2.7268102,2.6128073,2.7483454,15.160057,0.3653656,15.284055,13.904719,15.619031
2,57422,874,185.5427656173706,70000,20,2625,367.1260217622204,13.767225816083265,3.0,3.0,2871.1,1601.3201,1877.5,1095.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2734332,0.16063933,0.25099736,0.14054897,1.0778896,0.002880238,0.0024591472,0.0023282045,0.0014958354,0.014706647,0.2784711,0.16509385,0.25028512,0.14740857,1.0510944,-0.005037887,0.049469374,-0.00091808586,-0.4414639,0.1419513,0.011701675,0.109706,-0.0017799063,-0.038315233,0.96679074,0.005426382,0.052289903,0.00091572263,-0.15235534,0.4586638,0.009010869,0.061175898,2.2574448e-05,2.8523716e-06,0.5140458,-0.0027355764,2.5226378e-05,-0.0027447892,-0.0027675296,-0.0026417777,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.15574563,0.7389991,0.025464926,0.0040594735,6.505655,2.735576,0.025226375,2.7447891,2.6417775,2.7675295,15.43313,0.35656002,15.561342,14.158087,15.919258
0,57422,999,213.12280535697937,80000,20,3000,362.58105841807804,13.596789690677927,3.0,3.0,2871.1,1601.3201,1877.5,1095.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2370085,0.017601183,0.23773551,0.18408467,0.27436695,0.002390664,0.00031585907,0.0023613726,0.0017291037,0.003149446,0.23734175,0.017523788,0.23905978,0.189311,0.27502567,-0.0003332326,0.0040460858,-0.00027471216,-0.035462297,0.00507891,-0.0023640997,0.0044846185,-0.002488616,-0.007844965,0.03764556,0.00036293885,0.0042012287,0.00027404242,-0.005083016,0.036843944,6.0599337e-05,0.00033566647,1.7776994e-05,1.7880196e-06,0.0035879286,-0.0027876378,1.0919732e-05,-0.0027878906,-0.0028059497,-0.0027677335,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.026882796,0.040981855,0.018300634,0.0029232986,0.43294045,2.7876377,0.010919737,2.7878904,2.7677333,2.8059494,16.243593,0.17723142,16.246716,15.922511,16.542768
4,80239,1124,240.1009967327118,90000,24,3375,370.66977028694583,13.90011638576047,3.0,3.0,3343.2917,2145.7048,2254.5,1095.0,9558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68278354,0.75571823,0.25093302,0.16027027,3.1606555,0.008185992,0.010566082,0.0027532992,0.001678406,0.04898311,0.67905855,0.7500543,0.25317365,0.15650967,2.9399734,0.0037249725,0.11877235,0.0008817945,-0.7361825,0.44995084,0.0512098,0.2566586,-0.002984464,-0.11170507,1.9796242,-0.0031263758,0.123363934,-0.00088179484,-0.46564883,0.73618245,0.057057295,0.18618844,7.4066826e-05,3.0323658e-06,1.2547675,-0.0027211206,0.00011771917,-0.0027675983,-0.002818458,-0.002292013,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.62499183,1.5270153,0.06665054,0.003878022,10.566085,2.7211204,0.11771917,2.7675982,2.292013,2.8184578,15.334818,1.6088972,15.92569,10.017168,16.750994
2,84754,1249,267.2959189414978,100000,26,3750,367.7157052785849,13.789338947946934,3.0,3.0,3259.7693,2111.1123,2254.5,992.0,9558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5655775,0.7220655,0.2408814,0.15755066,2.7584536,0.005606114,0.0074719423,0.0023671952,0.0016521703,0.028488666,0.56667215,0.71275055,0.23887348,0.16467729,2.7620962,-0.0010946257,0.073572986,-0.0004164768,-0.40977484,0.5354587,0.02537526,0.13279857,-0.0021260038,-0.02793037,1.0844587,0.001570917,0.07518389,0.000414528,-0.54276454,0.40977487,0.026569702,0.12380194,2.598017e-05,2.4757321e-06,0.96468335,-0.0027653587,8.0633e-05,-0.002800305,-0.0028117567,-0.0024767194,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3299663,1.2329031,0.03238789,0.0047465973,14.472313,2.7653584,0.08063299,2.800305,2.4767194,2.8117566,15.982751,1.0793939,16.449736,12.303723,16.639153
